country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,gdp_per_capita,gdp_per_capita_quintiles
Afghanistan,2021,AFG,40099460.0,67594969088.0,0.012,0.0,11.874,0.192,1.647,12.241,0.229,1.907,0.305,0.165,0.451,0.296,0.16,0.438,4.204,0.105,,,,2.517,217.993,559.514,57.676,5.956,20.267,861.113,131.577,,676.696,0.502,0.0,0.0,0.239,0.006,0.758,0.762,0.366,0.009,16.37,0.433,5.01,0.133,7.42,0.185,,,27.135,0.001,0.032,0.03,0.028,0.006,0.013,0.023,0.007,0.032,0.008,0.116,0.022,,0.0,0.003,0.009,0.063,,0.083,0.001,0.001,0.001,0.0,28.79,28.64,,,1685.6827769750516,0.0
Albania,2021,ALB,2854710.0,34009112576.0,1.048,0.367,4.619,-0.109,-2.315,4.582,-0.219,-4.568,1.605,0.156,0.114,1.618,0.147,0.115,0.174,0.061,5.776,2.015,0.177,24.375,293.839,555.742,66.782,0.136,16.707,454.299,185.838,,14100.432,1.236,0.0,0.0,0.15,0.053,3.135,3.052,-0.037,-0.013,2.85,0.992,1.1,0.383,3.246,1.137,,,40.253,0.063,0.012,0.011,0.001,0.054,0.017,0.022,0.008,0.001,0.007,0.061,0.031,,0.0,0.002,-0.001,0.027,,0.024,0.0,0.0,0.0,0.0,8.77,9.01,1.047,22.143,11913.333605164798,2.0
Algeria,2021,DZA,44177964.0,590317551616.0,11.028,0.25,176.269,3.765,2.182,178.321,3.728,2.135,4.036,0.298,0.254,3.99,0.295,0.251,1.096,0.025,,,,243.217,4862.567,5799.415,117.541,693.757,2154.349,1235.757,1653.702,,15914.461,1.134,15.333,0.347,92.792,2.1,6.604,6.609,2.052,0.046,92.36,2.163,12.63,0.296,56.021,1.268,,,703.068,0.659,0.475,0.434,0.007,0.54,0.28,0.234,0.015,3.759,0.848,0.166,0.273,,3.681,1.171,0.052,0.473,,0.406,0.004,0.002,0.007,0.0,282.23,282.01,,,13362.262498470956,2.0
Andorra,2021,AND,79057.0,,0.0,0.0,0.453,0.004,0.892,0.453,0.004,0.892,5.729,,,5.729,,,0.0,0.0,,,,0.0,15.484,16.291,0.0,0.0,0.0,0.806,15.484,,,,0.0,0.0,0.0,0.0,8.25,8.25,0.0,0.0,0.05,0.655,0.0,0.0,0.453,5.729,,,,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.003,,0.0,0.0,0.0,0.004,,0.001,0.0,0.0,0.0,0.0,0.63,0.63,,,,
Angola,2021,AGO,34503776.0,175929573376.0,1.124,0.033,21.363,1.087,5.361,90.283,-0.122,-0.135,2.617,0.557,0.937,0.619,0.129,0.222,0.0,0.0,,,,26.091,657.116,6569.969,1.601,236.486,46.112,10628.787,346.826,,2791.332,0.598,3.386,0.098,2.951,0.086,2.463,3.965,68.92,1.997,41.32,1.277,25.69,0.794,13.902,0.403,,,96.311,0.067,0.058,0.22,0.0,0.058,0.038,0.265,0.0,1.281,0.018,1.432,0.057,,0.813,0.037,1.75,0.117,,0.419,0.003,0.004,0.007,0.0,128.29,79.68,,,5098.849858519833,1.0
Antigua and Barbuda,2021,ATG,93229.0,,0.0,0.0,0.469,0.043,10.164,0.469,0.043,10.164,5.027,,0.171,5.027,,0.171,0.0,0.0,,,,0.0,22.002,20.61,0.0,0.0,0.0,-8.097,22.002,,29464.332,,0.0,0.0,0.0,0.0,13.243,13.243,0.0,0.0,0.2,2.171,0.01,0.109,0.469,5.027,,,2.747,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,-0.001,0.004,,0.0,0.0,0.0,0.004,,0.001,0.0,0.0,0.0,0.0,1.22,1.22,,,,
Argentina,2021,ARG,45276788.0,829373284352.0,4.671,0.103,186.448,17.186,10.153,218.069,11.726,5.683,4.816,0.281,0.226,4.118,0.218,0.193,4.816,0.106,159.198,3.535,0.212,201.576,8636.5,21379.012,541.647,182.536,2970.459,13327.324,4740.281,,21328.186,1.187,2.325,0.051,94.328,2.083,8.248,8.915,31.62,0.698,128.88,2.88,48.61,1.086,80.309,1.774,,,965.672,0.279,0.502,0.531,0.032,0.447,0.497,0.864,0.067,0.989,1.169,1.795,0.783,,0.558,1.191,0.803,0.678,,1.16,0.006,0.011,0.019,0.001,398.91,369.05,-10.064,-5.946,18317.847201351826,3.0
Armenia,2021,ARM,2790971.0,33296515072.0,0.341,0.122,6.806,0.375,5.837,7.282,0.302,4.328,2.609,0.197,0.148,2.439,0.175,0.138,0.012,0.004,7.258,2.587,0.213,15.224,383.291,631.674,43.914,2.157,163.669,252.779,158.328,,17684.547,1.289,0.0,0.0,5.461,1.957,3.531,3.545,0.476,0.171,2.32,0.823,1.27,0.45,0.992,0.355,,,49.357,0.02,0.018,0.018,0.0,0.034,0.022,0.026,0.005,0.012,0.064,0.034,0.026,,0.0,0.069,0.012,0.008,,0.022,0.0,0.0,0.0,0.0,10.0,9.96,0.827,12.864,11930.0827819422,2.0
Australia,2021,AUS,25921094.0,1238559621120.0,2.82,0.109,391.187,-8.735,-2.184,399.138,-15.77,-3.801,15.398,0.366,0.251,15.091,0.336,0.246,150.958,5.824,354.534,13.811,0.295,194.196,18968.83,32711.873,10343.382,300.027,2154.456,13743.041,5863.383,113.386,61439.91,1.312,17.273,0.666,77.242,2.98,23.109,23.997,7.951,0.307,135.8,5.355,71.46,2.818,139.156,5.368,0.144,3.738,1592.59,0.169,1.054,0.972,1.008,0.431,1.092,1.322,1.286,1.626,0.848,1.851,0.968,1.171,4.147,0.975,0.202,1.176,1.262,1.535,0.008,0.014,0.025,0.003,608.49,585.98,-45.388,-11.349,47781.91927856131,4.0
Austria,2021,AUT,8922086.0,382269456384.0,1.821,0.204,64.626,2.588,4.172,62.391,2.515,4.2,6.993,0.169,0.155,7.243,0.174,0.16,12.269,1.375,81.224,9.118,0.239,139.719,5571.7,5756.585,2743.821,4.763,740.529,213.208,1906.985,35.882,45241.051,1.068,0.109,0.012,17.839,1.999,8.662,7.86,-2.235,-0.251,6.92,0.779,3.85,0.434,31.463,3.526,0.126,1.124,403.645,0.109,0.174,0.152,0.082,0.31,0.321,0.233,0.341,0.026,0.291,0.029,0.315,0.371,0.026,0.225,-0.057,0.266,0.38,0.184,0.001,0.002,0.003,0.0,69.8,76.92,19.187,30.928,42845.300570292646,4.0
Azerbaijan,2021,AZE,10312992.0,160426229760.0,1.096,0.106,38.493,0.985,2.626,46.077,1.021,2.267,4.468,0.262,0.235,3.732,0.216,0.197,0.004,0.0,39.14,3.806,0.221,31.923,2530.484,3368.733,24.269,31.776,1065.063,857.852,1377.453,,18974.334,1.069,0.253,0.025,26.029,2.524,5.355,5.169,7.584,0.735,14.67,1.434,4.13,0.404,11.111,1.077,,,195.682,0.066,0.104,0.112,0.0,0.071,0.146,0.136,0.003,0.172,0.419,0.116,0.227,,0.061,0.329,0.193,0.094,,0.137,0.001,0.001,0.002,0.0,52.89,54.8,1.632,4.352,15555.74073556927,2.0
Bahamas,2021,BHS,407920.0,,0.0,0.0,2.386,0.22,10.144,2.35,0.22,10.319,5.76,,0.163,5.85,,0.165,0.005,0.012,,,,4.262,171.632,174.234,0.27,0.0,0.0,7.218,167.1,,35447.574,,0.0,0.0,0.0,0.0,7.811,7.86,-0.037,-0.09,0.22,0.544,0.03,0.074,2.381,5.838,,,14.46,0.0,0.006,0.006,0.0,0.009,0.01,0.007,0.0,0.0,0.0,0.001,0.028,,0.0,0.0,-0.001,0.02,,0.006,0.0,0.0,0.0,0.0,3.18,3.16,,,,
Bahrain,2021,BHR,1463266.0,62559305728.0,0.615,0.42,39.016,1.413,3.759,39.016,1.413,3.759,26.664,0.524,0.165,26.664,0.524,0.165,0.0,0.0,21.83,14.775,0.309,8.062,972.275,972.275,0.154,2.018,744.945,0.0,217.097,,161111.203,3.383,0.255,0.174,34.596,23.643,36.414,36.414,0.0,0.0,17.41,11.652,0.18,0.12,3.55,2.426,,,235.749,0.037,0.105,0.095,0.0,0.018,0.056,0.039,0.0,0.011,0.293,0.0,0.036,,0.061,0.437,0.0,0.03,,0.094,0.001,0.0,0.002,0.0,54.41,54.41,-15.773,-41.947,42753.20121427,4.0
Bangladesh,2021,BGD,169356240.0,686521778176.0,1.474,0.009,93.176,2.351,2.588,112.668,1.142,1.024,0.665,0.139,0.235,0.55,0.12,0.194,14.853,0.088,135.094,0.807,0.186,23.702,1650.25,3872.723,138.255,0.282,1023.785,4776.646,464.226,,2831.162,0.627,0.049,0.0,58.743,0.347,1.305,1.436,19.492,0.115,92.66,0.56,28.93,0.175,18.057,0.107,,,479.475,0.088,0.251,0.274,0.099,0.053,0.095,0.156,0.017,0.002,0.403,0.643,0.077,,0.012,0.742,0.495,0.153,,0.459,0.004,0.002,0.007,0.001,237.7,215.94,44.269,48.741,4053.7141009743723,1.0
Barbados,2021,BRB,281204.0,3516161024.0,0.071,0.251,1.125,0.104,10.152,0.979,0.067,7.357,3.481,0.335,0.151,4.002,0.366,0.174,0.0,0.0,,,,3.698,56.11,56.329,0.055,0.235,1.819,3.041,50.304,,23025.998,1.996,0.018,0.065,0.058,0.205,13.526,13.526,-0.147,-0.521,2.35,8.387,0.04,0.143,0.979,3.481,,,6.475,0.004,0.003,0.002,0.0,0.008,0.003,0.002,0.0,0.001,0.001,0.0,0.008,,0.004,0.001,-0.004,0.008,,0.002,0.0,0.0,0.0,0.0,3.79,3.79,,,12503.950953755992,2.0
Belarus,2021,BLR,9578172.0,178435260416.0,2.302,0.24,59.602,1.01,1.724,56.048,1.084,1.972,5.852,0.329,0.183,6.223,0.348,0.195,3.282,0.343,57.684,5.988,0.355,83.154,5007.977,8820.257,544.968,10.144,1339.798,4006.657,2976.126,53.787,31910.822,1.722,0.006,0.001,36.053,3.764,8.976,6.753,-3.554,-0.371,17.02,1.759,12.07,1.248,16.987,1.773,0.102,0.973,305.647,0.138,0.161,0.136,0.022,0.185,0.288,0.356,0.068,0.055,0.527,0.54,0.492,0.555,0.001,0.455,-0.09,0.144,0.329,0.3,0.001,0.004,0.005,0.001,65.33,86.83,-0.908,-1.55,18629.36481157365,3.0
Belgium,2021,BEL,11611416.0,454384320512.0,2.634,0.227,95.722,5.354,5.925,98.873,5.464,5.85,8.515,0.226,0.134,8.244,0.22,0.13,11.016,0.949,177.959,15.392,0.458,223.237,12644.15,12863.012,7534.479,3.33,1370.319,360.025,3437.206,75.58,63592.086,1.572,0.101,0.009,35.777,3.081,9.388,9.402,3.151,0.271,8.08,0.702,4.58,0.398,44.567,3.838,0.14,1.626,738.394,0.157,0.258,0.241,0.074,0.495,0.728,0.52,0.937,0.018,0.539,0.048,0.568,0.78,0.024,0.452,0.08,0.377,0.549,0.429,0.001,0.006,0.007,0.0,108.22,108.06,87.591,96.927,39132.550286028854,4.0
Belize,2021,BLZ,400037.0,,0.0,0.0,0.689,0.075,12.144,3.584,0.148,4.305,8.959,,1.205,1.723,,0.232,0.0,0.0,,,,0.0,19.833,222.232,0.0,0.006,0.051,269.56,19.775,,7437.571,,0.005,0.012,0.0,0.0,3.984,17.605,2.895,7.236,0.56,1.439,0.26,0.668,0.685,1.711,,,2.975,0.0,0.002,0.009,0.0,0.0,0.001,0.009,0.0,0.0,0.0,0.036,0.003,,0.001,0.0,0.073,0.006,,0.009,0.0,0.0,0.0,0.0,6.85,1.55,,,,
Benin,2021,BEN,12996901.0,26682034176.0,0.388,0.03,7.756,0.492,6.773,19.334,0.126,0.654,1.488,0.75,0.599,0.597,0.279,0.24,0.284,0.022,8.269,0.654,0.296,6.425,119.036,1361.425,1.512,0.0,0.592,1237.736,110.507,,2484.818,1.225,0.0,0.0,0.123,0.009,1.222,2.098,11.578,0.891,3.94,0.321,2.75,0.224,6.961,0.536,,,32.295,0.023,0.021,0.047,0.002,0.014,0.007,0.055,0.0,0.0,0.0,0.167,0.018,,0.0,0.002,0.294,0.059,,0.054,0.0,0.001,0.001,0.0,25.78,15.02,1.005,13.839,2052.9535599294018,0.0
Bhutan,2021,BTN,777500.0,,0.454,0.584,1.522,0.022,1.493,8.117,-0.271,-3.228,10.44,,0.376,1.958,,0.07,0.448,0.576,,,,4.841,19.719,636.847,5.567,0.0,0.0,1071.427,9.311,,27785.357,,0.0,0.0,0.0,0.0,2.189,0.469,6.595,8.483,0.47,0.612,0.11,0.143,0.62,0.797,,,21.603,0.027,0.004,0.02,0.003,0.011,0.001,0.026,0.001,0.0,0.0,0.144,0.002,,0.0,0.0,0.167,0.005,,0.018,0.0,0.0,0.0,0.0,0.36,1.68,,,,
Bolivia,2021,BOL,12079474.0,75704713216.0,1.42,0.118,23.322,2.254,10.699,36.952,1.155,3.226,3.059,0.529,0.433,1.931,0.314,0.273,0.013,0.001,21.863,1.832,0.313,28.789,577.561,5936.087,0.381,55.495,167.832,7686.816,325.063,,7062.148,1.24,0.061,0.005,8.524,0.706,5.162,11.779,13.63,1.128,33.41,2.837,15.22,1.292,13.304,1.101,,,85.307,0.085,0.063,0.09,0.0,0.064,0.033,0.24,0.0,0.301,0.066,1.035,0.054,,0.015,0.108,0.346,0.112,,0.292,0.001,0.003,0.005,0.0,138.72,60.79,0.795,3.775,6267.219352100928,1.0
Bosnia and Herzegovina,2021,BIH,3270948.0,41286324224.0,0.365,0.112,13.566,-7.367,-35.192,13.64,-6.964,-33.799,4.17,0.52,0.181,4.148,0.535,0.18,8.295,2.536,,,,11.675,964.362,1746.369,759.012,0.325,24.731,1099.347,168.619,,23013.498,1.774,0.0,0.0,0.488,0.149,7.805,7.29,0.073,0.022,3.66,1.089,1.34,0.399,4.418,1.351,,,75.276,0.022,0.037,0.033,0.055,0.026,0.056,0.071,0.094,0.002,0.01,0.148,0.028,,0.0,0.006,0.002,0.037,,0.057,0.0,0.001,0.001,0.0,24.5,26.23,,,12622.127965348272,2.0
Botswana,2021,BWA,2588424.0,35844341760.0,0.0,0.0,6.5,0.241,3.856,6.317,0.351,5.888,2.44,0.197,0.26,2.511,0.209,0.268,3.654,1.412,11.974,4.702,0.34,0.237,156.471,274.158,91.333,0.0,0.004,270.073,64.897,,9385.398,0.656,0.0,0.0,0.0,0.0,4.401,20.938,-0.183,-0.071,2.02,0.808,1.54,0.616,2.846,1.1,,,24.293,0.0,0.018,0.015,0.024,0.001,0.009,0.011,0.011,0.0,0.0,0.036,0.011,,0.0,0.0,-0.005,0.024,,0.041,0.0,0.0,0.001,0.0,52.34,11.0,5.715,91.316,13847.940584695552,2.0
Brazil,2021,BRA,214326224.0,2965401501696.0,23.793,0.111,488.881,46.575,10.53,1481.862,60.169,4.232,6.914,0.469,0.415,2.281,0.161,0.137,68.23,0.318,425.8,1.997,0.161,782.059,16672.438,126316.5,2489.596,455.172,1329.302,113726.633,11446.671,169.637,16659.977,1.172,17.505,0.082,75.974,0.354,4.992,6.854,992.981,4.633,435.88,2.058,187.29,0.884,296.987,1.386,0.03,6.392,3570.67,1.423,1.317,3.609,0.455,1.735,0.96,5.104,0.31,2.466,0.523,15.317,1.891,1.752,4.203,0.959,25.209,2.509,2.158,4.871,0.024,0.051,0.078,0.003,1451.63,1057.26,-16.506,-3.732,13835.92472424653,2.0
Brunei,2021,BRN,445382.0,,0.0,0.0,10.481,-0.073,-0.688,11.616,-0.073,-0.621,26.082,,0.253,23.532,,0.228,0.386,0.866,9.961,22.55,,0.0,371.266,457.48,1.133,86.682,186.788,86.214,96.664,,103268.102,,0.405,0.91,5.811,13.047,21.23,21.983,1.136,2.55,1.59,3.63,0.15,0.342,3.879,8.709,,,45.994,0.0,0.028,0.028,0.003,0.0,0.021,0.018,0.0,0.47,0.074,0.012,0.016,,0.097,0.073,0.029,0.033,,0.03,0.0,0.0,0.0,0.0,9.63,9.3,-0.592,-5.611,,
Bulgaria,2021,BGR,6885864.0,132183449600.0,1.066,0.155,42.56,5.593,15.13,37.614,5.74,18.007,5.462,0.288,0.17,6.181,0.33,0.192,20.854,3.028,36.497,5.229,0.309,105.747,3873.285,4939.289,2168.837,10.019,342.416,1212.784,1219.407,26.858,32216.705,1.655,0.684,0.099,6.062,0.88,7.271,2.479,-4.946,-0.718,6.84,0.97,4.16,0.59,12.778,1.856,0.162,1.116,221.84,0.064,0.115,0.092,0.139,0.235,0.223,0.2,0.27,0.054,0.135,0.163,0.201,0.277,0.164,0.077,-0.126,0.108,0.377,0.16,0.0,0.002,0.003,0.0,17.48,51.28,-0.47,-1.272,19196.349158217472,3.0
Burkina Faso,2021,BFA,22100690.0,31315025920.0,0.852,0.039,5.698,0.309,5.739,9.106,0.309,3.516,0.412,0.275,0.455,0.258,0.158,0.285,0.0,0.0,6.07,0.282,0.183,6.929,74.569,954.222,0.0,0.0,0.0,1135.693,67.64,,904.726,0.619,0.0,0.0,0.0,0.0,1.537,2.688,3.408,0.154,15.85,0.757,10.12,0.483,4.846,0.219,,,19.995,0.051,0.015,0.022,0.0,0.015,0.004,0.039,0.0,0.0,0.0,0.153,0.011,,0.0,0.0,0.087,0.041,,0.09,0.001,0.001,0.001,0.0,56.31,32.21,0.681,12.639,1416.925259799581,0.0
Burundi,2021,BDI,12551215.0,7314108928.0,0.029,0.002,0.693,0.036,5.445,4.98,-0.001,-0.017,0.397,0.695,1.35,0.055,0.093,0.188,0.05,0.004,,,,0.327,13.827,387.811,0.771,0.0,0.0,726.058,12.729,,293.889,0.457,0.0,0.0,0.0,0.0,0.384,0.677,4.287,0.342,1.35,0.114,2.03,0.171,0.614,0.049,,,3.689,0.002,0.002,0.012,0.0,0.001,0.001,0.016,0.0,0.0,0.0,0.098,0.002,,0.0,0.0,0.109,0.005,,0.034,0.0,0.0,0.001,0.0,8.04,4.56,,,582.7411073748638,0.0
Cambodia,2021,KHM,16589031.0,59541852160.0,5.325,0.321,19.029,0.325,1.739,48.927,1.095,2.289,2.949,0.716,0.731,1.147,0.242,0.284,4.698,0.283,38.54,2.35,0.579,26.742,185.28,5000.875,28.768,0.024,0.0,4815.595,129.746,,4035.081,0.989,0.024,0.001,0.0,0.0,2.472,4.428,29.898,1.802,19.5,1.203,6.12,0.378,8.981,0.541,,,66.938,0.318,0.051,0.119,0.031,0.059,0.011,0.202,0.004,0.0,0.0,0.649,0.021,,0.006,0.0,0.759,0.076,,0.152,0.001,0.001,0.002,0.0,71.77,40.06,19.837,106.062,3589.2302666744067,1.0
Cameroon,2021,CMR,27198632.0,76168241152.0,1.162,0.043,9.297,0.29,3.22,37.07,0.217,0.588,1.363,0.506,0.855,0.342,0.126,0.214,0.0,0.0,9.95,0.376,0.136,18.587,242.587,2541.564,0.263,17.842,13.808,3509.013,192.087,,1593.62,0.575,1.468,0.054,1.611,0.059,3.495,4.84,27.773,1.021,15.98,0.62,62.63,2.429,5.056,0.186,,,43.344,0.07,0.025,0.09,0.0,0.041,0.014,0.103,0.0,0.097,0.005,0.473,0.032,,0.352,0.02,0.705,0.043,,0.179,0.001,0.002,0.003,0.0,124.79,90.12,0.943,10.47,2800.4438293808307,0.0
Canada,2021,CAN,38155012.0,1669401542656.0,6.625,0.174,545.635,10.771,2.014,655.994,1.977,0.302,17.193,0.423,0.171,14.3,0.35,0.142,43.862,1.15,490.672,12.95,0.319,375.247,34115.395,72651.617,9714.966,627.008,8278.287,38536.598,15031.196,88.69,100738.891,2.442,16.057,0.421,235.382,6.169,19.64,20.635,110.36,2.892,102.7,2.737,42.59,1.135,241.66,6.334,0.054,2.049,3843.694,0.396,1.47,1.598,0.293,0.833,1.964,2.936,1.208,3.398,3.258,5.19,2.483,0.916,3.855,2.971,2.802,2.042,0.692,2.074,0.005,0.027,0.033,0.001,774.29,736.93,-44.191,-8.262,43753.138975713075,4.0
Cape Verde,2021,CPV,587936.0,3882678784.0,0.0,0.0,0.668,0.043,6.817,0.558,0.043,8.272,0.949,0.131,0.131,1.136,0.15,0.157,0.0,0.0,,,,0.072,15.299,19.183,0.244,0.0,0.0,7.548,14.983,,7249.497,1.103,0.0,0.0,0.0,0.0,1.404,1.3,-0.11,-0.187,0.09,0.156,0.06,0.104,0.668,1.136,,,4.262,0.0,0.002,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.002,,0.0,0.0,-0.003,0.006,,0.001,0.0,0.0,0.0,0.0,0.75,0.81,,,6603.91400424536,1.0
Central African Republic,2021,CAF,5457165.0,3581982464.0,0.0,0.0,0.227,0.013,6.093,3.818,0.233,6.496,0.7,0.921,2.445,0.042,0.061,0.146,0.0,0.0,,,,0.0,10.814,408.908,0.0,0.0,0.0,889.546,10.814,,286.132,0.43,0.0,0.0,0.0,0.0,3.787,8.942,3.591,0.658,15.67,3.008,16.65,3.196,0.227,0.042,,,1.561,0.0,0.001,0.009,0.0,0.0,0.001,0.017,0.0,0.0,0.0,0.12,0.002,,0.0,0.0,0.091,0.002,,0.077,0.001,0.0,0.001,0.0,46.58,19.73,,,656.3815578235219,0.0
Chad,2021,TCD,17179744.0,31212918784.0,0.163,0.009,1.94,0.138,7.642,22.129,0.394,1.814,1.288,0.658,3.566,0.113,0.064,0.313,0.0,0.0,,,,1.163,36.605,688.76,0.0,3.477,0.0,1252.282,31.964,,361.161,0.229,0.336,0.02,0.0,0.0,5.063,6.553,20.189,1.175,53.05,3.29,26.28,1.63,1.441,0.084,,,6.205,0.01,0.005,0.054,0.0,0.003,0.002,0.028,0.0,0.019,0.0,0.169,0.005,,0.081,0.0,0.513,0.012,,0.158,0.002,0.0,0.003,0.0,105.68,81.65,,,1816.8442314390716,0.0
Chile,2021,CHL,19493184.0,412833611776.0,0.825,0.042,85.447,1.613,1.924,116.334,-0.952,-0.811,5.968,0.294,0.244,4.383,0.205,0.179,26.185,1.343,85.545,4.432,0.224,56.722,2996.752,6985.566,931.828,78.462,319.975,4675.997,1609.764,,24462.756,1.134,0.012,0.001,11.606,0.595,5.936,2.906,30.888,1.585,11.67,0.613,6.85,0.36,46.819,2.402,,,476.857,0.049,0.23,0.283,0.175,0.126,0.173,0.282,0.116,0.425,0.126,0.63,0.266,,0.003,0.147,0.784,0.396,,0.254,0.001,0.003,0.004,0.0,55.33,113.02,1.711,2.041,21178.35710041007,3.0
China,2021,CHN,1425893504.0,18151620214784.0,852.961,0.598,11472.368,516.155,4.711,11799.967,548.765,4.877,8.275,0.584,0.269,8.046,0.57,0.261,7955.985,5.58,10033.401,7.041,0.53,15657.812,249352.812,305425.0,187073.406,68.488,7162.012,59697.332,34491.543,4899.551,30768.826,2.116,4.677,0.003,773.866,0.543,8.936,8.479,327.598,0.23,1176.34,0.827,552.28,0.388,1713.34,1.202,0.12,171.539,43873.07,50.996,30.903,28.736,53.112,34.743,14.356,12.341,23.262,0.371,2.819,8.04,5.697,50.593,1.123,9.769,8.317,14.474,57.924,12.336,0.062,0.128,0.199,0.009,12055.41,12705.09,-922.811,-8.423,12729.9971308264,2.0
Colombia,2021,COL,51516560.0,651900551168.0,5.871,0.114,91.703,6.178,7.223,220.163,16.62,8.165,4.274,0.297,0.383,1.78,0.126,0.16,12.015,0.233,108.775,2.136,0.167,189.938,3503.543,18382.498,753.498,63.889,664.234,20363.596,1831.986,,11147.847,0.857,0.616,0.012,23.257,0.451,3.733,5.39,128.46,2.494,76.9,1.532,22.97,0.458,49.945,0.969,,,574.299,0.351,0.247,0.536,0.08,0.421,0.202,0.743,0.094,0.346,0.261,2.743,0.303,,0.148,0.294,3.261,0.422,,0.819,0.004,0.009,0.013,0.001,270.53,187.34,23.25,27.185,12654.194130353424,2.0
Comoros,2021,COM,821632.0,1416032128.0,0.0,0.0,0.298,0.016,5.553,0.262,0.016,6.38,0.318,0.181,0.195,0.363,0.207,0.222,0.0,0.0,,,,0.0,5.63,13.837,0.0,0.0,0.0,16.378,5.63,,1633.784,0.873,0.0,0.0,0.0,0.0,0.809,0.885,-0.037,-0.045,0.27,0.341,0.05,0.063,0.298,0.363,,,1.342,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.002,0.001,,0.0,0.0,-0.001,0.003,,0.002,0.0,0.0,0.0,0.0,0.7,0.64,,,1723.4383860414396,0.0
Congo,2021,COG,5835814.0,29513590784.0,0.283,0.048,7.464,-0.065,-0.87,26.371,0.044,0.169,4.519,0.875,1.925,1.279,0.223,0.545,0.0,0.0,,,,3.255,110.436,1272.987,0.0,31.679,13.663,3556.938,61.839,,2348.011,0.665,2.862,0.49,2.292,0.393,3.447,5.398,18.906,3.24,9.45,1.696,2.24,0.402,2.027,0.347,,,13.703,0.017,0.02,0.064,0.0,0.007,0.006,0.051,0.0,0.172,0.005,0.479,0.01,,0.687,0.029,0.48,0.017,,0.113,0.001,0.001,0.002,0.0,30.07,19.2,,,5057.322043505842,1.0
Cook Islands,2021,COK,17028.0,,0.0,0.0,0.091,0.002,2.767,,,,,,,5.368,,0.185,0.0,0.0,,,,0.0,2.437,,0.0,0.0,0.0,,2.437,,28943.293,,0.0,0.0,0.0,0.0,5.837,5.837,,,0.01,0.584,0.0,0.0,0.091,5.368,,,0.493,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.001,,0.0,0.0,0.0,0.0,0.0,0.1,0.1,,,,
Costa Rica,2021,CRI,5153959.0,73336987648.0,0.737,0.143,7.82,0.738,10.418,7.6,-0.105,-1.362,1.475,0.125,0.123,1.517,0.112,0.127,0.0,0.0,11.248,2.195,0.176,22.125,261.266,1425.868,0.799,0.0,0.0,2048.433,238.342,,11957.598,0.88,0.0,0.0,0.0,0.0,3.098,1.668,-0.22,-0.043,4.71,0.926,1.98,0.389,7.083,1.374,,,61.629,0.044,0.021,0.019,0.0,0.049,0.015,0.058,0.0,0.0,0.0,0.276,0.039,,0.0,0.0,-0.006,0.06,,0.062,0.0,0.001,0.001,0.0,8.48,15.75,4.166,58.826,14229.25321059015,2.0
