country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,gdp_per_capita,gdp_per_capita_quintiles
South Sudan,2021,SSD,10748278.0,,0.0,0.0,1.582,0.083,5.553,8.067,-0.943,-10.463,0.751,,1.025,0.147,,0.201,0.0,0.0,,,,0.0,40.672,1363.926,0.109,0.0,0.0,1745.383,40.563,,731.989,,0.0,0.0,0.0,0.0,4.873,5.774,6.485,0.603,30.42,2.912,19.2,1.838,1.582,0.147,,,7.868,0.0,0.004,0.02,0.0,0.0,0.002,0.055,0.0,0.0,0.0,0.235,0.007,,0.0,0.0,0.165,0.013,,0.158,0.001,0.001,0.003,0.001,60.33,50.91,,,,
Spain,2021,ESP,47486932.0,1492300201984.0,8.609,0.181,233.65,20.31,9.52,208.148,19.87,10.554,4.383,0.165,0.135,4.92,0.181,0.151,18.575,0.391,253.361,5.349,0.2,705.016,15100.203,17219.338,4858.969,83.655,1654.14,2121.383,7685.895,112.529,32491.648,1.097,3.558,0.075,67.109,1.413,6.513,6.218,-25.501,-0.537,39.29,0.834,20.07,0.426,133.113,2.803,0.057,2.685,1542.929,0.515,0.629,0.507,0.124,1.564,0.869,0.696,0.604,0.453,0.651,0.286,1.269,1.162,0.854,0.847,-0.647,1.125,0.907,0.612,0.002,0.007,0.01,0.001,293.08,306.95,40.022,18.76,31425.49200660089,4.0
Sri Lanka,2021,LKA,21773438.0,253457137664.0,1.511,0.069,20.781,-0.923,-4.252,30.637,-1.106,-3.484,1.407,0.124,0.288,0.954,0.083,0.195,6.077,0.279,36.779,1.694,0.143,26.442,521.047,2127.674,61.801,0.0,0.0,2812.01,432.804,,4884.529,0.415,0.0,0.0,0.0,0.0,1.662,1.751,9.856,0.453,8.22,0.38,2.45,0.113,13.193,0.606,,,106.353,0.09,0.056,0.075,0.041,0.059,0.03,0.086,0.008,0.0,0.0,0.379,0.071,,0.0,0.0,0.25,0.111,,0.099,0.001,0.001,0.002,0.0,37.9,35.99,15.075,69.458,11640.657651951888,2.0
Sudan,2021,SDN,45657204.0,,1.556,0.034,21.038,1.003,5.005,35.841,-0.939,-2.554,0.785,,0.339,0.461,,0.199,0.0,0.0,,,,21.3,473.842,2804.036,1.286,6.985,0.0,2733.124,444.27,,2317.393,,0.456,0.01,0.0,0.0,2.453,2.939,14.803,0.324,55.38,1.281,29.02,0.671,19.027,0.417,,,105.806,0.093,0.057,0.087,0.0,0.047,0.027,0.113,0.0,0.038,0.0,0.368,0.073,,0.109,0.0,0.376,0.161,,0.287,0.003,0.001,0.005,0.001,127.07,106.06,,,,
Suriname,2021,SUR,612989.0,,0.012,0.019,2.793,0.186,7.116,6.53,0.295,4.739,10.654,,0.525,4.557,,0.225,0.0,0.0,,,,1.289,117.282,304.146,1.378,0.033,0.166,241.787,114.416,,20284.996,,0.0,0.0,0.011,0.017,7.43,23.038,3.737,6.097,1.42,2.365,0.29,0.483,2.771,4.52,,,12.434,0.001,0.008,0.016,0.0,0.003,0.007,0.012,0.0,0.0,0.0,0.033,0.019,,0.0,0.0,0.095,0.023,,0.011,0.0,0.0,0.0,0.0,13.83,4.46,,,,
Sweden,2021,SWE,10467095.0,463407448064.0,1.272,0.122,35.849,-0.666,-1.824,40.246,-0.52,-1.275,3.845,0.099,0.064,3.425,0.091,0.057,5.553,0.531,61.55,5.936,0.157,111.814,5026.541,8180.229,1508.272,17.457,71.325,3154.667,3297.979,19.693,60186.461,1.348,0.445,0.043,1.484,0.142,4.498,2.909,4.397,0.42,4.77,0.465,5.64,0.549,26.563,2.538,0.051,0.532,629.977,0.076,0.097,0.098,0.037,0.248,0.289,0.331,0.188,0.095,0.028,0.425,0.545,0.203,0.107,0.019,0.112,0.224,0.18,0.235,0.001,0.003,0.004,0.0,29.87,46.19,25.035,68.56,44272.78514850586,4.0
Switzerland,2021,CHE,8691409.0,531971145728.0,1.679,0.193,34.932,0.691,2.017,33.906,0.617,1.855,3.901,0.068,0.114,4.019,0.069,0.117,0.413,0.048,106.74,12.356,0.235,138.173,3059.692,3285.101,592.024,1.25,231.188,253.256,2090.112,6.945,34368.309,0.605,0.026,0.003,7.23,0.832,5.422,5.161,-1.026,-0.118,5.04,0.588,2.42,0.282,25.42,2.925,0.019,0.163,298.709,0.1,0.094,0.083,0.003,0.307,0.176,0.133,0.074,0.007,0.091,0.034,0.345,0.072,0.006,0.091,-0.026,0.215,0.055,0.11,0.0,0.001,0.002,0.0,44.26,46.5,72.499,211.731,61206.54841211592,4.0
Syria,2021,SYR,21324366.0,56710615040.0,0.768,0.036,27.001,0.841,3.215,26.781,0.878,3.388,1.256,0.526,0.228,1.266,0.533,0.23,0.003,0.0,,,,74.321,1888.237,2330.958,0.625,90.457,299.152,509.809,1423.683,,5507.217,2.468,1.957,0.092,6.837,0.321,2.412,2.412,-0.22,-0.01,17.04,0.848,3.19,0.159,17.436,0.818,,,117.438,0.046,0.073,0.065,0.0,0.165,0.109,0.094,0.0,0.49,0.118,0.069,0.235,,0.47,0.086,-0.006,0.147,,0.117,0.001,0.001,0.002,0.0,48.48,48.48,,,2659.427953919005,0.0
Tajikistan,2021,TJK,9750078.0,38206550016.0,2.053,0.211,10.336,0.902,9.565,10.043,0.902,9.872,1.03,0.232,0.134,1.06,0.238,0.138,5.185,0.532,12.924,1.354,0.353,20.875,487.571,600.129,128.926,2.092,84.204,115.856,251.474,,7674.914,1.854,0.0,0.0,0.311,0.032,1.875,1.861,-0.293,-0.03,5.66,0.606,2.03,0.217,2.787,0.286,,,74.831,0.123,0.028,0.024,0.035,0.046,0.028,0.024,0.016,0.011,0.033,0.016,0.042,,0.0,0.004,-0.007,0.024,,0.04,0.0,0.0,0.001,0.0,17.38,17.51,3.49,36.997,3918.5891657482125,1.0
Tanzania,2021,TZA,63588332.0,162052505600.0,2.524,0.04,13.059,0.765,6.22,60.618,-5.574,-8.421,0.953,0.495,1.051,0.205,0.073,0.226,1.983,0.031,17.655,0.286,0.109,29.234,259.24,7589.475,14.954,0.045,25.671,9885.984,189.336,,907.404,0.347,0.0,0.0,2.083,0.033,1.403,2.587,47.559,0.748,46.89,0.783,30.52,0.51,6.469,0.102,,,57.7,0.151,0.035,0.148,0.013,0.065,0.015,0.307,0.002,0.0,0.01,1.331,0.031,,0.0,0.026,1.207,0.055,,0.424,0.002,0.004,0.007,0.001,154.89,84.0,5.36,43.601,2548.4629098306905,0.0
